name,link
E003,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E003-DNase.pval.signal.bigwig
E114,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E114-DNase.pval.signal.bigwig
E116,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E116-DNase.pval.signal.bigwig
E117,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E117-DNase.pval.signal.bigwig
E118,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E118-DNase.pval.signal.bigwig
E119,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E119-DNase.pval.signal.bigwig
E120,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E120-DNase.pval.signal.bigwig
E122,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E122-DNase.pval.signal.bigwig
E123,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E123-DNase.pval.signal.bigwig
E127,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E127-DNase.pval.signal.bigwig
E128,https://egg2.wustl.edu/roadmap/data/byFileType/signal/consolidated/macs2signal/pval/E128-DNase.pval.signal.bigwig
